id,formation,time,col0,col1,col2,col3,col4,col5
1,Side_By_Side,1.69588,1,1,1,1,2,2
1,Side_By_Side,1.591532,1,1,1,1,1,1
2,Side_By_Side,2.013391,2,1,1,1,2,1
3,Side_By_Side,1.699698,1,1,1,1,1,1
1,Side_By_Side,2.582448,1,1,1,1,1,1
2,Side_By_Side,1.556064,2,1,1,2,1,3
3,Side_By_Side,2.007515,1,1,1,1,2,1
4,Side_By_Side,2.287093,2,3,2,1,1,1
5,Side_By_Side,1.63653,1,1,1,1,1,1
1,Side_By_Side,1.578829,1,2,1,1,1,1
2,Side_By_Side,2.5473,2,1,2,2,1,2
1,Side_By_Side,6.397485,0,0,0,0,0,0
2,Side_By_Side,0.1656091,0,0,0,0,0,0
3,Side_By_Side,0.2216394,0,0,0,0,0,0
4,Side_By_Side,0.226922,0,0,0,0,0,0
1,Side_By_Side,6.21483,0,0,0,0,0,0
2,Side_By_Side,0.0177503,0,0,0,0,0,0
3,Side_By_Side,0.0144232,0,0,0,0,0,0
4,Side_By_Side,0.0146715,0,0,0,0,0,0
5,Side_By_Side,0.0144233,0,0,0,0,0,0
6,Side_By_Side,0.0138608,0,0,0,0,0,0
7,Side_By_Side,0.0142243,0,0,0,0,0,0
8,Side_By_Side,0.0151547,0,0,0,0,0,0
9,Side_By_Side,0.0189773,0,0,0,0,0,0
10,Side_By_Side,0.0185577,0,0,0,0,0,0
11,Side_By_Side,0.0143367,0,0,0,0,0,0
12,Side_By_Side,0.0148022,0,0,0,0,0,0
13,Side_By_Side,0.0141906,0,0,0,0,0,0
14,Side_By_Side,0.0147812,0,0,0,0,0,0
15,Side_By_Side,0.0138503,0,0,0,0,0,0
16,Side_By_Side,0.0144151,0,0,0,0,0,0
17,Side_By_Side,0.0150961,0,0,0,0,0,0
18,Side_By_Side,0.0320436,0,0,0,0,0,0
19,Side_By_Side,0.0171557,0,0,0,0,0,0
20,Side_By_Side,0.0148665,0,0,0,0,0,0
21,Side_By_Side,0.017497,0,0,0,0,0,0
22,Side_By_Side,0.0144846,0,0,0,0,0,0
23,Side_By_Side,0.0148158,0,0,0,0,0,0
24,Side_By_Side,0.018724,0,0,0,0,0,0
25,Side_By_Side,0.0159768,0,0,0,0,0,0
26,Side_By_Side,0.0145586,0,0,0,0,0,0
27,Side_By_Side,0.0146606,0,0,0,0,0,0
28,Side_By_Side,0.0149401,0,0,0,0,0,0
29,Side_By_Side,0.0157689,0,0,0,0,0,0
30,Side_By_Side,0.0151051,0,0,0,0,0,0
1,Side_By_Side,6.409417,0,0,0,0,0,0
2,Side_By_Side,0.0158007,0,0,0,0,0,0
3,Side_By_Side,0.014261,0,0,0,0,0,0
4,Side_By_Side,0.014463,0,0,0,0,0,0
5,Side_By_Side,0.0150728,0,0,0,0,0,0
6,Side_By_Side,0.0141311,0,0,0,0,0,0
7,Side_By_Side,0.0156823,0,0,0,0,0,0
8,Side_By_Side,0.0182193,0,0,0,0,0,0
9,Side_By_Side,0.015452,0,0,0,0,0,0
10,Side_By_Side,0.0147969,0,0,0,0,0,0
11,Side_By_Side,0.016546,0,0,0,0,0,0
12,Side_By_Side,0.0149436,0,0,0,0,0,0
13,Side_By_Side,0.0145705,0,0,0,0,0,0
14,Side_By_Side,0.0149472,0,0,0,0,0,0
15,Side_By_Side,0.020817,0,0,0,0,0,0
16,Side_By_Side,0.0144303,0,0,0,0,0,0
17,Side_By_Side,0.0150082,0,0,0,0,0,0
18,Side_By_Side,0.0148008,0,0,0,0,0,0
19,Side_By_Side,0.0155533,0,0,0,0,0,0
20,Side_By_Side,0.0185193,0,0,0,0,0,0
21,Side_By_Side,0.0181825,0,0,0,0,0,0
22,Side_By_Side,0.0146633,0,0,0,0,0,0
23,Side_By_Side,0.0144147,0,0,0,0,0,0
24,Side_By_Side,0.0138652,0,0,0,0,0,0
25,Side_By_Side,0.0149212,0,0,0,0,0,0
26,Side_By_Side,0.0145202,0,0,0,0,0,0
27,Side_By_Side,0.0146044,0,0,0,0,0,0
28,Side_By_Side,0.0143578,0,0,0,0,0,0
29,Side_By_Side,0.0143004,0,0,0,0,0,0
30,Side_By_Side,0.0141484,0,0,0,0,0,0
1,Side_By_Side,6.409705,0,0,0,0,0,0
2,Side_By_Side,0.0166816,0,0,0,0,0,0
3,Side_By_Side,0.0221516,0,0,0,0,0,0
